,"All pilots must either fly a local, simulator, or mission once per month",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Simulator Semi-Annual Requirements (MRP sim must be filled but does not count as currency for any crew position beside FPNC),,,,,,,,
,FPNC,"FPCC, FPQC, FPLC","FPCC5, FPCCR, FPQC5,  FPQCR, FPLC5, FPLCR",MP C,"MP C5, MP CR, IP B5","MP CZ, MP CJ","IP B, IP A, EP A","IP B3, IP B2, IP BZ, IP BJ, IP BX","IP A2, EP A2, IP AX, IP AL, EP AL"
Requirements,1x MRP,2x G250,2x G250,2x G250,2x G250,2x G250,1x G250,1x G250,1x G250
,2x G250,1x Day 1 (1st Qtr),1x Day 1 (1st Qtr),1x Day 1 (1st Qtr),1x Day 1 (1st Qtr),1x Day 1 (1st Qtr),1x Day 1 (1st Qtr),1x Day 1 (1st Qtr),1x Day 1 (1st Qtr)
,1x Day 1 (1st Qtr),1x AL Day 2 (1st Qtr),1x AD Day 2 (1st Qtr),1x AL Day 2 (1st Qtr),1x AD Day 2 (1st Qtr),1x AD Day 2 (1st Qtr),1x AL Day 2 (1st Qtr),1x AD Day 2 (1st Qtr),1x AD Day 2 (1st Qtr)
,1x AL Day 2 (1st Qtr),1x Day 1 (2nd Qtr),1x Day 1 (2nd Qtr),1x Day 1 (2nd Qtr),1x Day 1 (2nd Qtr),1x Day 1 (2nd Qtr),1x Day 1 (2nd Qtr),1x Day 1 (2nd Qtr),1x Day 1 (2nd Qtr)
,1x Day 1 (2nd Qtr),1x AL Day 2 (2nd Qtr),1x AD Day 2 (2nd Qtr),1x AL Day 2 (2nd Qtr),1x AD Day 2 (2nd Qtr),1x AD Day 2 (2nd Qtr),1x AL Day 2 (2nd Qtr),1x AD Day 2 (2nd Qtr),1x AD Day 2 (2nd Qtr)
,1x AL Day 2 (2nd Qtr),4x ISS (Min 1 per Qtr),4x ISS (Min 1 per Qtr),1x MMP (Annual),2x ISS (Min 1 per Qtr),1x MMP (Annual),1x MMP (Annual),1x MMP (Annual),1x MMP (Annual)
